[LOG] System::create                           : Header version = 2.01.05. Current version = 2.01.05.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0x0.
[LOG] SystemI::init                            : Initialize version=20105 (112138), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD Core Audio Output'
[LOG] OutputCoreAudio::init                    : Output running 2 channels at 48000Hz sample rate.
[LOG] OutputCoreAudio::init                    : Maximum hardware read size: 1024 samples, Software buffer size: 512 samples, Number of software buffers: 4.
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x8000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: Yes, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0x7f8760e94008 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {7cee78fe-3935-48d2-835e-ff076bf5c879}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {b8881c19-8f37-433d-a546-6e7ce4ee24d0}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {b8881c19-8f37-433d-a546-6e7ce4ee24d0}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {d5139a0e-a1a9-4239-8265-ed3639745498}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {d5139a0e-a1a9-4239-8265-ed3639745498}
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {7de5eed2-12a5-4903-9125-a3c3c6e803b2}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {9502c14d-1735-4450-8ac2-bb9a1a56b840}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {31b2d56e-9709-4483-a76f-97f1ee3caaf5}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {5c1207dd-cee2-443c-81dc-7df96fb2e5e8}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {ee717a12-124c-43a1-b71c-026a113b3f87}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {caa7247a-10d7-406e-a27a-e0871191a0cb}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {fde9a788-27ab-43f5-b77e-f716d24bb6eb}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {c3c192e6-d678-4251-991f-d373f541b5b0}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {6516001f-672a-471c-876d-287abe1e863b}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {a9532c03-ea89-490f-a1fd-65f4b4ec4a9a}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {4dfe94fd-0c38-44c2-b662-c54816f0042d}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {20b39527-bd7d-43e0-98e6-c40288b6383f}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {6e22f0d3-217c-4678-906d-ffdcc86bd060}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {5eab0fea-9c01-4e94-8e5b-ff7a5b92a9b7}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {1bfefec0-58fd-4541-8a73-b1df89b0b8ff}
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {5db29a79-598a-4745-8464-07549f200899}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {7a391a9d-f948-45e0-8d8c-47fdfb68c312}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {5d059dd2-104f-4bb6-9c83-fe6a32095b7c}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {6ecdc62e-4192-4b0d-a003-3c24fb11832c}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {5d059dd2-104f-4bb6-9c83-fe6a32095b7c}
